"日付","始値","高値","安値","終値","前日比","出来高","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2020/02/07","1,739.28","1,740.09","1,728.35","1,732.14","-4.84","126,463","1,705.57","1,716.45","1,704.03","137,667","116,389","118,570"
"2020/02/06","1,722.95","1,744.43","1,722.28","1,736.98","+35.15","165,442","1,696.03","1,716.49","1,702.69","139,913","114,633","118,787"
"2020/02/05","1,701.79","1,706.69","1,696.03","1,701.83","+17.59","132,970","1,683.58","1,716.26","1,701.13","134,179","111,303","118,293"
"2020/02/04","1,667.25","1,685.96","1,666.59","1,684.24","+11.58","127,663","1,683.21","1,717.04","1,699.71","128,244","109,091","118,116"
"2020/02/03","1,660.66","1,677.23","1,656.33","1,672.66","-11.78","135,797","1,684.82","1,718.80","1,698.34","126,136","107,447","117,839"
"2020/01/31","1,684.52","1,699.19","1,683.34","1,684.44","+9.67","137,692","1,690.80","1,721.07","1,697.13","122,586","105,839","117,422"
"2020/01/30","1,693.65","1,695.79","1,667.30","1,674.77","-25.18","136,771","1,700.00","1,723.02","1,695.82","114,356","105,609","117,071"
"2020/01/29","1,695.65","1,700.30","1,689.76","1,699.95","+7.67","103,295","1,711.14","1,725.47","1,694.46","107,983","104,785","116,476"
"2020/01/28","1,687.53","1,695.72","1,684.75","1,692.28","-10.29","117,125","1,719.98","1,727.01","1,692.77","107,360","105,758","116,570"
"2020/01/27","1,702.98","1,708.95","1,697.17","1,702.57","-27.87","118,046","1,728.52","1,729.21","1,691.12","102,187","106,233","116,640"
"2020/01/24","1,733.72","1,733.95","1,726.32","1,730.44","-0.06","96,545","1,736.84","1,730.58","1,689.71","95,000","106,049","116,628"
"2020/01/23","1,733.71","1,736.92","1,729.20","1,730.50","-13.63","104,906","1,737.84","1,730.96","1,688.01","97,278","109,930","116,895"
"2020/01/22","1,732.48","1,744.82","1,732.26","1,744.13","+9.16","100,180","1,737.48","1,730.25","1,686.10","96,957","110,312","117,180"
"2020/01/21","1,743.78","1,744.46","1,732.15","1,734.97","-9.19","91,259","1,734.87","1,729.08","1,684.24","99,372","110,911","117,649"
"2020/01/20","1,741.04","1,745.95","1,740.78","1,744.16","+8.72","82,112","1,735.98","1,728.52","1,682.75","105,801","111,449","118,335"
"2020/01/17","1,737.23","1,737.66","1,732.88","1,735.44","+6.72","107,935","1,734.18","1,727.63","1,681.10","111,211","112,506","118,744"
"2020/01/16","1,733.27","1,733.87","1,726.71","1,728.72","-2.34","103,301","1,732.90","1,726.75","1,679.60","112,555","112,408","118,916"
"2020/01/15","1,733.79","1,738.45","1,727.37","1,731.06","-9.47","112,253","1,727.44","1,726.06","1,678.10","120,957","112,891","119,483"
"2020/01/14","1,740.91","1,742.05","1,734.83","1,740.53","+5.37","123,406","1,726.23","1,724.95","1,676.56","121,666","112,741","119,764"
"2020/01/10","1,734.22","1,739.38","1,731.27","1,735.16","+6.11","109,160","1,717.63","1,723.59","1,674.77","121,379","112,104","119,747"
"2020/01/09","1,722.19","1,731.67","1,721.04","1,729.05","+27.65","114,656","1,714.87","1,722.77","1,673.16","115,479","111,526","120,073"
"2020/01/08","1,701.87","1,706.52","1,683.76","1,701.40","-23.65","145,311","1,715.69","1,721.58","1,671.58","109,063","110,917","120,945"
"2020/01/07","1,705.54","1,726.28","1,705.23","1,725.05","+27.56","115,795","1,721.65","1,721.85","1,670.16","96,438","108,805","121,117"
"2020/01/06","1,699.60","1,703.87","1,690.29","1,697.49","-23.87","121,971","1,720.93","1,721.28","1,668.27","88,811","108,485","121,821"
"2019/12/30","1,727.39","1,727.85","1,718.17","1,721.36","-11.82","79,662","1,727.07","1,721.61","1,666.41","81,734","110,098","122,084"
"2019/12/27","1,735.40","1,738.18","1,731.97","1,733.18","+1.98","82,578","1,728.68","1,720.88","1,664.14","84,917","110,955","122,308"
"2019/12/26","1,721.59","1,731.20","1,720.99","1,731.20","+9.78","82,186","1,728.66","1,719.20","1,661.53","94,791","112,121","122,737"
"2019/12/25","1,727.08","1,728.04","1,720.64","1,721.42","-6.80","77,659","1,729.64","1,717.53","1,658.91","101,590","114,203","123,439"
"2019/12/24","1,730.83","1,732.54","1,726.55","1,728.22","-1.20","86,585","1,733.04","1,716.32","1,656.04","111,583","116,512","123,604"
"2019/12/23","1,737.50","1,737.70","1,728.10","1,729.42","-3.65","95,578","1,736.84","1,715.06","1,653.14","120,064","117,865","123,571"
"2019/12/20","1,736.98","1,738.35","1,727.13","1,733.07","-3.04","131,949","1,738.33","1,713.91","1,650.16","123,637","118,936","123,367"
"2019/12/19","1,736.73","1,741.24","1,732.38","1,736.11","-2.29","116,178","1,739.71","1,712.45","1,647.21","135,962","119,118","123,218"
"2019/12/18","1,745.69","1,746.29","1,736.30","1,738.40","-8.80","127,626","1,735.05","1,710.39","1,643.93","135,615","120,073","122,990"
"2019/12/17","1,746.28","1,747.20","1,738.68","1,747.20","+10.33","128,990","1,730.36","1,708.86","1,640.62","133,124","119,829","122,566"
"2019/12/16","1,737.86","1,741.98","1,736.87","1,736.87","-3.11","113,444","1,725.08","1,707.36","1,637.19","128,268","119,708","122,236"
"2019/12/13","1,738.45","1,744.82","1,735.04","1,739.98","+27.15","193,574","1,722.12","1,706.05","1,633.73","127,283","120,136","122,244"
"2019/12/12","1,718.99","1,719.21","1,708.56","1,712.83","-2.12","114,442","1,716.79","1,704.56","1,630.56","109,667","118,900","120,873"
"2019/12/11","1,720.33","1,721.82","1,712.11","1,714.95","-5.82","115,170","1,716.51","1,703.97","1,627.70","109,856","119,393","120,646"
"2019/12/10","1,720.67","1,724.08","1,719.14","1,720.77","-1.30","104,711","1,714.17","1,703.15","1,624.80","108,523","120,341","120,312"
"2019/12/09","1,726.10","1,726.20","1,713.65","1,722.07","+8.71","108,518","1,711.36","1,702.09","1,621.95","109,076","122,795","120,149"
"2019/12/06","1,713.08","1,716.52","1,709.49","1,713.36","+1.95","105,492","1,709.85","1,699.86","1,618.91","106,311","123,479","119,909"
"2019/12/05","1,711.94","1,714.32","1,706.68","1,711.41","+8.14","115,389","1,707.05","1,698.01","1,615.87","105,103","125,108","119,827"
"2019/12/04","1,695.73","1,703.33","1,691.15","1,703.27","-3.46","108,504","1,706.38","1,696.19","1,612.84","100,525","127,663","119,807"
"2019/12/03","1,695.91","1,707.15","1,692.86","1,706.73","-7.76","107,475","1,707.92","1,694.57","1,610.12","100,382","128,621","119,778"
"2019/12/02","1,705.99","1,717.35","1,705.23","1,714.49","+15.13","94,696","1,707.72","1,692.23","1,607.18","111,347","128,381","120,055"
"2019/11/29","1,712.21","1,712.83","1,698.01","1,699.36","-8.70","99,450","1,705.41","1,689.59","1,604.38","112,628","128,996","120,373"
"2019/11/28","1,712.02","1,713.40","1,703.54","1,708.06","-2.92","92,501","1,703.81","1,687.37","1,601.70","115,080","129,799","120,630"
"2019/11/27","1,710.43","1,714.60","1,709.21","1,710.98","+5.27","107,787","1,700.07","1,684.57","1,598.92","123,431","130,857","121,107"
"2019/11/26","1,712.61","1,719.57","1,705.04","1,705.71","+2.75","162,299","1,696.10","1,681.28","1,596.10","128,948","130,113","121,701"
"2019/11/25","1,702.98","1,705.98","1,699.80","1,702.96","+11.62","101,101","1,694.30","1,677.93","1,593.44","120,570","127,950","121,503"
"2019/11/22","1,689.56","1,698.53","1,688.79","1,691.34","+1.96","111,711","1,693.85","1,674.77","1,591.18","124,819","128,365","122,214"
"2019/11/21","1,686.85","1,690.85","1,665.89","1,689.38","-1.73","134,257","1,694.92","1,672.38","1,589.52","129,780","129,606","122,533"
"2019/11/20","1,689.25","1,697.27","1,684.17","1,691.11","-5.62","135,372","1,693.92","1,669.61","1,587.87","130,936","129,372","122,544"
"2019/11/19","1,696.86","1,700.51","1,691.02","1,696.73","-3.99","120,408","1,695.77","1,665.78","1,586.33","128,168","128,745","122,260"
"2019/11/18","1,696.09","1,700.72","1,693.64","1,700.72","+4.05","122,347","1,698.35","1,661.17","1,584.62","129,282","128,206","121,938"
"2019/11/15","1,686.57","1,699.55","1,684.53","1,696.67","+12.27","136,514","1,699.02","1,656.41","1,582.90","129,638","127,493","121,541"
"2019/11/14","1,697.84","1,699.92","1,680.04","1,684.40","-15.93","140,040","1,700.24","1,652.00","1,581.31","134,871","126,485","121,037"
"2019/11/13","1,706.55","1,707.48","1,699.56","1,700.33","-9.34","121,532","1,702.98","1,647.53","1,579.85","132,218","124,569","120,496"
"2019/11/12","1,702.55","1,711.07","1,698.93","1,709.67","+5.64","125,976","1,701.81","1,642.44","1,578.10","135,682","124,122","120,102"
"2019/11/11","1,708.12","1,711.22","1,701.78","1,704.03","+1.26","124,128","1,698.70","1,636.81","1,576.06","143,702","123,978","119,629"
"2019/11/08","1,711.66","1,713.79","1,698.25","1,702.77","+4.64","162,680","1,691.20","1,632.50","1,574.19","143,999","123,699","119,454"
"2019/11/07","1,693.75","1,699.43","1,692.21","1,698.13","+3.68","126,775","1,684.05","1,628.50","1,571.94","140,706","121,855","119,003"
"2019/11/06","1,701.35","1,701.35","1,689.04","1,694.45","+0.29","138,852","1,677.60","1,624.09","1,570.20","151,202","121,834","118,678"
"2019/11/05","1,682.85","1,697.39","1,680.91","1,694.16","+27.66","166,076","1,671.25","1,620.48","1,568.52","149,925","121,694","118,214"
"2019/11/01","1,653.80","1,666.50","1,653.72","1,666.50","-0.51","125,612","1,662.10","1,617.65","1,566.95","137,003","120,760","117,373"
"2019/10/31","1,666.36","1,669.91","1,660.35","1,667.01","+1.11","146,215","1,658.49","1,615.79","1,565.78","133,897","120,247","117,219"
"2019/10/30","1,663.85","1,666.35","1,659.20","1,665.90","+3.22","179,256","1,653.83","1,614.03","1,564.50","128,558","119,231","116,788"
"2019/10/29","1,657.26","1,664.43","1,656.78","1,662.68","+14.25","132,465","1,648.28","1,612.04","1,563.29","116,499","117,895","115,716"
"2019/10/28","1,651.13","1,652.75","1,648.09","1,648.43","-0.01","101,465","1,641.47","1,610.16","1,562.17","107,840","117,929","115,388"
"2019/10/25","1,646.42","1,648.62","1,641.76","1,648.44","+4.70","110,085","1,636.18","1,608.49","1,561.42","109,193","118,755","115,279"
"2019/10/24","1,646.60","1,647.96","1,643.24","1,643.74","+5.60","119,521","1,631.32","1,607.13","1,560.64","109,471","119,697","114,907"
"2019/10/23","1,632.82","1,638.51","1,620.04","1,638.14","+9.54","118,961","1,628.88","1,605.78","1,559.78","114,113","122,119","114,659"
"2019/10/21","1,626.18","1,630.95","1,625.35","1,628.60","+6.61","89,168","1,625.29","1,604.06","1,559.14","116,003","123,689","114,409"
"2019/10/18","1,628.22","1,633.36","1,619.76","1,621.99","-2.17","108,228","1,618.62","1,602.26","1,558.56","122,112","126,865","114,823"
"2019/10/17","1,628.58","1,630.57","1,624.03","1,624.16","-7.35","111,478","1,610.51","1,599.70","1,557.61","121,848","128,204","114,915"
"2019/10/16","1,637.58","1,646.09","1,627.81","1,631.51","+11.31","142,731","1,602.02","1,596.78","1,556.67","120,458","127,603","115,035"
"2019/10/15","1,615.40","1,623.77","1,612.27","1,620.20","+24.93","128,408","1,593.01","1,593.00","1,555.37","114,177","126,486","114,378"
"2019/10/11","1,593.54","1,596.58","1,587.36","1,595.27","+13.85","119,714","1,583.52","1,589.57","1,554.35","106,923","126,741","114,039"
"2019/10/10","1,578.79","1,583.05","1,565.04","1,581.42","-0.28","106,911","1,579.05","1,586.03","1,553.71","105,049","125,553","113,550"
"2019/10/09","1,570.70","1,581.95","1,570.70","1,581.70","-4.80","104,524","1,576.54","1,583.21","1,553.24","108,143","124,642","114,173"
"2019/10/08","1,580.50","1,588.19","1,579.98","1,586.50","+13.75","111,328","1,579.46","1,580.15","1,552.95","110,671","123,672","114,137"
"2019/10/07","1,576.33","1,578.75","1,569.16","1,572.75","-0.15","92,137","1,582.76","1,577.16","1,552.53","111,718","124,049","114,209"
"2019/10/04","1,564.68","1,572.96","1,561.00","1,572.90","+4.03","110,345","1,585.77","1,573.86","1,551.95","118,542","124,328","114,346"
"2019/10/03","1,569.83","1,571.04","1,560.83","1,568.87","-27.42","122,381","1,592.04","1,570.56","1,551.50","123,546","123,747","114,121"
"2019/10/02","1,590.31","1,597.14","1,589.73","1,596.29","-6.71","117,164","1,602.92","1,567.39","1,551.21","127,611","123,023","113,914"
"2019/10/01","1,595.35","1,607.65","1,595.35","1,603.00","+15.20","116,564","1,607.68","1,562.66","1,550.48","126,736","122,898","113,918"
"2019/09/30","1,593.18","1,596.21","1,583.02","1,587.80","-16.45","126,255","1,611.66","1,558.63","1,549.83","127,590","121,864","113,773"
"2019/09/27","1,612.10","1,613.02","1,590.82","1,604.25","-19.02","135,366","1,617.35","1,555.04","1,549.47","131,511","120,711","113,426"
"2019/09/26","1,633.91","1,635.88","1,618.88","1,623.27","+3.19","142,707","1,619.63","1,550.77","1,548.79","131,100","118,901","113,172"
"2019/09/25","1,614.78","1,621.59","1,611.47","1,620.08","-2.86","112,789","1,616.30","1,546.11","1,547.58","126,980","116,892","112,610"
"2019/09/24","1,618.02","1,629.06","1,617.96","1,622.94","+6.71","120,833","1,615.20","1,541.08","1,546.31","131,148","116,000","112,531"
"2019/09/20","1,622.30","1,625.17","1,613.70","1,616.23","+0.57","145,859","1,612.59","1,535.58","1,545.07","142,995","115,143","112,628"
"2019/09/19","1,613.75","1,626.52","1,612.03","1,615.66","+9.04","133,314","1,608.36","1,530.28","1,543.51","145,469","113,863","112,336"
"2019/09/18","1,613.31","1,614.10","1,602.45","1,606.62","-7.96","122,105","1,601.96","1,525.63","1,541.95","152,516","112,783","112,197"
"2019/09/17","1,605.64","1,619.13","1,601.73","1,614.58","+4.71","133,628","1,592.24","1,520.83","1,540.70","156,439","113,029","112,487"
"2019/09/13","1,602.18","1,610.98","1,593.23","1,609.87","+14.77","180,068","1,579.54","1,516.40","1,539.59","149,001","112,426","112,190"
"2019/09/12","1,592.83","1,600.62","1,588.52","1,595.10","+11.44","158,230","1,564.99","1,511.95","1,538.62","135,948","109,972","111,552"
"2019/09/11","1,563.99","1,583.66","1,563.47","1,583.66","+25.67","168,549","1,552.86","1,508.15","1,538.03","131,262","108,775","111,735"
"2019/09/10","1,556.24","1,561.52","1,554.87","1,557.99","+6.88","141,720","1,537.49","1,504.77","1,537.54","115,555","108,127","110,690"
"2019/09/09","1,538.49","1,551.11","1,538.13","1,551.11","+14.01","96,437","1,528.05","1,502.69","1,537.31","104,035","108,356","110,463"
